artist,year,title,genre,faces,black_1,black_2,black_3,white_1,white_2,white_3,red_1,red_2,red_3,lime_1,lime_2,lime_3,blue_1,blue_2,blue_3,yellow_1,yellow_2,yellow_3,cyan_1,cyan_2,cyan_3,magenta_1,magenta_2,magenta_3,silver_1,silver_2,silver_3,gray_1,gray_2,gray_3,maroon_1,maroon_2,maroon_3,olive_1,olive_2,olive_3,green_1,green_2,green_3,purple_1,purple_2,purple_3,teal_1,teal_2,teal_3,navy_1,navy_2,navy_3
The Affair,1990,Starring In...Standing In A Monkey Sea,Electronic,1,0.1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318,0.0138,0,0.3204,0.083,0.0326,0.0253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,0,0
Dolly Parton,1997,I Believe,"Folk, World, & Country",0,0.6032,0.0699,0.0162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537,0.026,0,0.0259,0.0167,0,0.0435,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0
Faron Young,1974,"Faron Young Sings ""Some Kind Of A Woman""","Folk, World, & Country",1,0.0781,0.0717,0.0294,0.0426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222,0,0,0.0021,0,0,0.2423,0.2092,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicia Keys,2003,The Diary Of Alicia Keys,Hip Hop,1,0.0726,0.0581,0,0.0997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0676,0.0409,0,0.0321,0.0366,0,0.0306,0,0,0.0437,0.0743,0,0,0,0,0,0,0,0,0,0,0,0,0
The Toasters,1992,New York Fever,Rock,0,0.2926,0,0,0.0675,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614,0.036,0.0084,0.0132,0.0553,0.0326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vassar Clements,2019,"Hartford, Rice & Clements","Folk, World, & Country",0,0.2545,0.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515,0,0,0.0323,0,0,0.0156,0.0171,0.013,0,0,0,0,0,0,0,0,0,0,0,0
Gary Numan,1999,Berserker,Electronic,0,0.0093,0.008,0,0.7622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0078,0,0,0.0032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.0125,0.0055
Dave Dudley,1964,Talk Of The Town,"Folk, World, & Country",0,0,0,0,0.1572,0,0,0,0,0,0,0,0,0,0,0,0.0073,0.0029,0,0.0649,0.0035,0,0,0,0,0,0,0,0.0018,0,0,0,0,0,0.001,0.0009,0,0,0,0,0,0,0,0.039,0.0424,0,0,0,0
The Veronicas,2009,Revenge Is Sweeter Tour,Electronic,0,0.2929,0.0704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177,0.0293,0,0.0198,0.02,0.0633,0.0203,0,0,0,0,0,0,0,0,0.0071,0.0021,0,0,0,0,0,0,0
Yellowcard,2014,Lift A Sail,Rock,0,0,0,0,0.0861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085,0.0111,0,0.0035,0.0032,0,0.004,0,0,0.0038,0,0,0,0,0,0,0,0,0,0,0,0.0062,0.0041,0.0001
Charly McClain,1982,Too Good To Hurry,"Folk, World, & Country",1,0.203,0.2204,0.0239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0.0141,0.0165,0.0778,0.0153,0.0122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEEDTOBREATHE,2016,The Heat,Rock,1,0,0,0,0.0199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077,0.0168,0.0018,0.0167,0.0161,0.0258,0,0,0,0.0091,0.0341,0,0,0,0,0,0,0,0,0,0,0,0,0
Reel Big Fish,1996,Turn The Radio Off,Rock,2,0.1234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366,0.0113,0,0.0285,0.0204,0.0023,0,0,0,0,0,0,0,0,0,0,0,0,0.0322,0,0,0.059,0.0522,0
John Anderson,2007,John Anderson,"Folk, World, & Country",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352,0.0264,0,0.0399,0.0247,0,0.1621,0.0257,0.0242,0.1438,0.0372,0.0265,0,0,0,0,0,0,0,0,0,0,0,0
Don Henley,1982,I Can't Stand Still,Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233,0,0,0.1486,0.0455,0.0517,0.0556,0.0618,0.0106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Pistols,2007,Death Before Dishonor,Hip Hop,0,0.1661,0.1785,0.2774,0.1149,0.0244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0267,0,0,0.0284,0.0345,0,0,0,0,0.0466,0.0014,0,0,0,0,0,0,0,0,0,0,0,0,0
Future,2018,HNDRXX,Hip Hop,0,0.0765,0.0734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.0004,0.0002,0.2792,0.2018,0.0876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
